Ren	138.8 	93.2 	61.2 
Arn	169.6 	129.1 	96.7 
Bic	432.1 	298.6 	257.3 
Esn	315.2 	210.7 	124.9 
Lat	208.3 	113.9 	43.0 
Col	1212.7 	863.2 	699.8 
Clt	3374.0 	1802.1 	452.1 
Usc	7190.6 	4234.3 	1206.7 
Cog	21300.0 	17025.0 	3134.3 
