1	12.7	14.1	12.1
2	11.4	32.7	58
3	25.4	72.4	52.9
4	28.8	41.6	39.4
5	19.1	26.3	35.5
6	8.2	10.4	22.7
7	18.3	30.8	23.2
8	18.6	25.7	25.4
9	7.7	7	20
10	11.7	17.1	13.1
11	12.5	20.8	20.9
12	8.4	11.7	13.4
13	16.5	27	16.7
14	8.5	14.2	12
15	9.8	22.5	14.5
16	5.2	11.7	9.6
17	6.6	16.8	7.1
18	7.9	17.5	10.2
19	1.6	4.3	7
20	6	10.9	7
21	7.8	17.4	8.1
22	8.6	18.7	9.2
23	6.6	13.2	7.6
24	10.7	18.3	11.3
25	9.3	21.2	10.9
26	17.7	20.2	8
27	4.6	9.3	8.5
28	8	17.1	11.5
29	5	9	9.1
30	11.2	26.7	10.9
31	2.2	3.7	8.3
32	6.8	14.5	8.6
33	11.3	24.1	11.5
34	12	26.9	14.6
35	10.2	22.4	13.8
36	11	24.3	15.3
37	3.9	7.9	8.6
38	8.4	18.9	13.5
39	9.6	20.7	9.9
40	4.1	8.6	8.6
41	8.4	19.3	9.1
42	6.1	9.4	9.1
43	8.7	18.8	9.8
44	15.9	27.1	15.1
45	13	22.5	17.6
46	16.7	20	16.7
47	19.6	30.5	15.1
48	10.5	15.6	12.3
49	19.5	37.7	14.3
50	20.5	32.7	14.3
51	17.5	29.7	11.6
52	16.1	26.9	11.7
53	12.2	18.1	12.2
54	18.7	26.5	12.7
55	16.8	27.6	11.4
56	19.4	26.6	13.3
57	24.4	44.8	69.1
58	4.5	7.5	5.3
59	4.7	6.6	5.7
60	5	9.1	5.9
61	7.9	15.2	6.5
62	6.5	13.7	6.2
63	4.5	8.4	5.9
64	7.3	14.9	5.9
65	10.8	17.3	7.2
66	8.4	16.6	7.7
67	8.8	16	6.4
68	4.4	11	6.8
69	5.5	13	6.1
70	4.4	9.6	6.1
71	4.7	10.8	6.3
72	4.4	9.1	6
73	3.2	5.1	6
74	7.3	16	6.2
75	2.3	3.8	6
76	8.5	17.4	7.3
77	8.1	17.1	7.1
78	8.1	17.2	7.2
79	4.4	9.8	6.3
80	3.7	7.9	5.7
81	6.8	16.4	6.4
82	8.3	18	7.1
83	7.2	14.6	6.9
84	1.8	3.2	6
85	7.5	15.5	7.3
86	8.4	18.2	7.6
87	9.1	18.5	8.4
88	2.7	6.8	6.3
89	3.4	7.6	6.1
90	4.6	9.3	7.5
91	6.8	15.5	6.9
92	9.3	16.9	10.6
93	15.5	28.7	14.7
94	12.5	24.9	15.7
95	18.2	28.6	16.5
96	21.9	32.5	16.3
97	11.3	35.6	12.6
98	6.1	14.4	7.6
99	4.8	11.9	6.9
100	8.2	18.4	7.2
101	8.7	15.5	7.7
102	7.7	16.4	7.7
103	10.2	20.1	9.6
104	8.6	18.6	8.1
105	8.5	19.7	9.7
106	10.8	25.2	9.4
107	8.6	20.6	10.9
108	9.3	19.5	7.9
109	6.6	15.2	7.5
110	4.6	13.2	7.2
111	6.3	13.6	7.5
112	10.8	21.6	10.3
