5.1	6.0	1.6
4.4	4.3	3.2
4.3	5.7	2.3
3.8	5.6	2.3
4.4	5.4	3.3
1.2	6.6	1.6
5.1	12.0	3.5
5.2	12.8	4.2
3.5	7.0	2.5
4.9	9.0	4.2
10.7	7.1	2.5
3.7	9.1	2.6
5.2	12.4	3.9
6.9	12.4	4.6
3.1	17.7	2.8
4.6	5.5	4.6
1.6	17.1	3.0
5.4	10.8	5.5
1.3	10.5	2.3
2.0	14.2	2.9
12.0	22.8	8.0
2.6	18.5	4.2
1.8	27.9	3.7
3.7	23.6	6.0
6.9	17.3	5.5
7.1	16.3	4.7
1.8	19.6	3.9
2.4	12.3	4.2
2.0	10.7	4.7
16.2	29.8	10.4
1.9	39.0	5.1
3.2	25.9	5.9
21.8	14.3	5.9
5.7	107.0	12.8
3.7	39.2	11.5
4.9	70.2	10.3
3.0	42.1	6.5
5.5	35.3	6.1
4.7	90.0	8.7
3.6	31.7	7.8
3.2	37.2	7.9
3.3	24.5	7.3
4.0	31.9	7.2
65.0	76.5	29.1
3.1	25.6	9.7
2.3	25.9	9.6
221.5	32.4	14.4
7.7	240.7	17.4
50.1	28.1	12.6
7.0	162.2	16.4
5.1	119.6	14.2
17.9	209.9	100.2
13.8	174.8	17.8
48.7	24.2	32.9
7.7	90.1	13.1
9.8	56.7	14.9
10.6	137.6	13.3
103.2	29.2	13.9
3.5	237.8	43.5
5.7	98.5	15.6
7.8	132.2	19.8
5.9	88.1	10.5
5.0	54.3	18.1
5.8	301.9	57.0
18.4	40.4	17.3
7.8	67.7	23.0
32.2	40.1	18.6
3.7	56.3	20.9
5.5	78.0	15.2
9.3	37.0	9.2
12.6	114.2	35.1
2.2	58.3	21.9
34.0	15.2	14.3
7.4	106.8	18.3
84.3	43.2	25.2
37.9	55.6	33.1
16.8	216.0	17.1
85.5	200.3	20.7
3.5	38.5	12.8
15.6	100.5	14.7
7.7	94.5	13.9
83.7	128.7	51.8
63.6	31.2	17.8
1.3	29.5	9.9
131.9	312.1	55.6
22.9	46.0	22.7
7.7	177.3	27.1
3.4	128.8	23.7
2.7	31.2	15.7
5.6	32.5	16.5
131.9	138.8	59.1
44.0	408.9	197.6
29.4	19.9	21.7
105.2	114.5	17.9
32.1	267.1	18.1
20.4	193.9	81.6
8.1	120.1	25.8
5.2	120.3	38.3
25.4	36.1	11.8
23.6	34.3	20.8
31.1	21.7	9.9
7.8	277.7	30.4
64.2	79.0	35.6
187.5	25.8	15.9
252.3	124.5	60.0
41.9	68.0	17.6
3.4	140.5	34.1
108.0	222.5	36.0
4.4	518.7	61.7
5.1	173.2	11.9
22.1	366.3	164.2
39.6	311.1	50.4
22.1	202.0	43.2
17.4	497.6	36.6
241.3	67.3	34.1
12.6	235.9	48.5
42.8	116.8	25.6
522.9	402.4	78.3
612.4	176.3	111.5
485.0	130.3	46.2
756.4	177.1	76.1
144.3	275.9	38.7
417.7	69.1	21.9
19.4	311.0	54.5
130.8	452.8	42.3
503.6	226.0	98.6
178.6	37.7	29.1
28.7	315.9	49.7
15.4	373.4	53.5
817.1	83.9	39.1
14.6	250.4	50.9
49.8	279.4	37.7
24.1	495.3	53.7
37.8	423.5	78.2
271.9	248.6	68.2
43548.6	97.6	31.2
88.4	90.3	35.1
21.0	142.1	30.8
30.5	130.2	28.6
8.6	183.9	34.4
609.9	72.2	130.9
57.5	323.6	53.9
12.1	323.7	31.5
41.6	394.9	67.7
97.1	197.7	32.6
7.2	278.0	36.9
49.2	449.8	77.8
192.9	200.7	27.3
14.8	231.2	35.6
61.7	499.5	237.3
987.9	352.7	133.0
46.1	868.2	77.9
14.7	666.3	132.5
13.6	194.6	39.2
51.5	791.5	86.5
29.4	372.3	51.3
17.9	129.0	52.9
