4.0	3.7
5.0	3.6
6.0	3.8
7.0	5.5
7.0	5.3
7.0	3.8
6.0	6.0
6.0	6.0
8.0	6.5
7.0	6.4
6.0	5.5
6.0	5.5
7.0	7.0
7.0	6.4
10.0	7.8
10.0	5.0
9.0	5.7
9.0	8.5
11.0	10.2
12.0	10.1
7.0	7.0
9.0	6.9
11.0	5.1
11.0	7.7
6.0	5.5
7.0	7.0
13.0	7.6
13.0	8.7
13.0	7.3
11.0	11.0
14.0	7.8
12.0	8.0
11.0	11.0
12.0	11.3
14.0	11.3
14.0	14.0
14.0	5.9
13.0	12.2
14.0	13.2
14.0	9.5
15.0	13.9
18.0	9.4
16.0	12.9
13.0	9.3
16.0	11.9
18.0	13.7
15.0	13.5
16.0	11.3
8.0	8.0
16.0	13.5
11.0	10.3
13.0	12.3
13.0	12.7
17.0	15.6
9.0	9.0
16.0	15.1
19.0	18.1
20.0	9.4
22.0	11.3
16.0	11.1
18.0	17.2
16.0	14.9
14.0	7.7
19.0	16.3
17.0	17.0
21.0	20.9
17.0	14.7
23.0	13.6
21.0	15.3
21.0	16.3
22.0	13.7
24.0	12.7
24.0	16.7
19.0	17.3
25.0	17.6
21.0	21.0
21.0	21.0
21.0	21.0
18.0	13.1
18.0	13.1
20.0	18.6
18.0	18.0
21.0	17.1
24.0	15.5
23.0	20.4
18.0	18.0
22.0	22.0
23.0	12.9
19.0	13.9
18.0	12.9
19.0	15.9
24.0	19.8
16.0	11.4
20.0	12.7
19.0	18.1
17.0	17.0
24.0	14.5
27.0	19.9
26.0	15.0
20.0	14.2
21.0	19.3
24.0	16.9
23.0	22.2
21.0	21.0
27.0	20.9
17.0	13.0
23.0	13.0
21.0	20.0
25.0	22.1
30.0	23.8
30.0	20.1
25.0	24.1
27.0	17.0
25.0	22.1
20.0	20.0
28.0	24.8
28.0	17.0
23.0	23.0
23.0	20.1
19.0	17.1
28.0	28.0
17.0	15.4
18.0	18.0
20.0	20.0
19.0	18.2
27.0	27.0
26.0	24.4
29.0	25.7
29.0	20.3
32.0	25.7
19.0	18.2
29.0	19.8
20.0	18.4
31.0	23.4
24.0	22.3
31.0	31.0
22.0	17.4
23.0	18.6
9.0	9.0
33.0	30.0
27.0	24.4
30.0	21.2
34.0	26.2
33.0	29.3
24.0	22.6
34.0	20.6
33.0	32.1
27.0	21.7
31.0	27.4
37.0	24.1
23.0	20.8
23.0	20.8
37.0	35.2
35.0	32.5
30.0	24.1
23.0	21.1
23.0	21.1
31.0	26.0
32.0	29.2
36.0	31.3
43.0	16.5
37.0	25.9
43.0	21.8
33.0	27.5
33.0	27.5
39.0	24.7
39.0	24.7
35.0	31.8
37.0	28.0
29.0	29.0
38.0	32.1
43.0	37.1
34.0	30.5
42.0	39.1
42.0	29.9
34.0	20.7
33.0	29.4
34.0	27.3
34.0	33.1
44.0	35.1
44.0	24.0
49.0	26.8
34.0	30.3
25.0	25.0
37.0	33.8
43.0	40.2
40.0	34.3
47.0	35.5
40.0	36.1
37.0	28.1
62.0	36.4
40.0	31.8
52.0	34.2
32.0	27.6
39.0	36.4
48.0	41.3
50.0	46.2
45.0	43.1
37.0	32.3
50.0	33.3
42.0	32.2
53.0	45.1
53.0	45.1
53.0	46.0
53.0	46.0
53.0	46.0
53.0	46.0
50.0	47.3
54.0	46.1
54.0	46.1
54.0	45.1
54.0	45.1
55.0	46.1
55.0	46.1
55.0	46.1
71.0	49.1
56.0	37.1
56.0	47.1
57.0	48.1
58.0	49.1
58.0	49.1
58.0	49.1
58.0	49.1
58.0	48.2
58.0	48.2
59.0	47.4
69.0	42.7
72.0	59.9
35.0	35.0
60.0	48.3
60.0	48.3
74.0	43.4
61.0	41.0
42.0	29.2
58.0	55.5
54.0	50.3
58.0	46.1
81.0	62.7
65.0	63.1
47.0	42.9
56.0	56.0
50.0	47.2
63.0	53.7
83.0	66.9
88.0	88.0
71.0	66.3
66.0	60.4
92.0	90.1
83.0	69.0
72.0	61.6
70.0	66.2
103.0	87.6
105.0	99.0
128.0	102.7
100.0	95.1
150.0	112.9
144.0	133.1
147.0	133.0
145.0	135.2
187.0	169.3
