4.0	2.0	2.0
4.0	1.3	1.3
5.0	2.8	2.8
6.0	3.0	3.0
6.0	2.3	2.3
6.0	1.2	1.2
6.0	6.0	3.6
7.0	7.0	4.2
7.0	1.6	1.5
7.0	5.7	3.6
7.0	5.4	4.1
7.0	2.9	2.6
7.0	7.0	3.7
8.0	4.9	3.4
9.0	3.6	3.3
9.0	2.4	2.4
9.0	4.3	3.6
10.0	6.9	4.2
10.0	1.3	1.3
10.0	2.9	2.6
10.0	10.0	5.2
10.0	5.8	4.1
10.0	3.4	3.4
11.0	4.2	3.6
11.0	10.1	6.5
11.0	11.0	5.8
12.0	2.4	2.4
12.0	3.8	3.5
13.0	2.3	2.2
13.0	13.0	4.3
13.0	1.3	1.3
13.0	5.3	3.6
14.0	14.0	4.8
15.0	14.2	4.8
15.0	8.5	3.6
15.0	15.0	4.1
15.0	3.3	2.4
15.0	12.5	4.4
16.0	15.1	4.4
16.0	4.4	2.4
16.0	12.3	4.1
17.0	2.4	2.2
17.0	9.9	4.1
17.0	11.3	5.0
17.0	5.1	3.6
17.0	3.9	2.5
18.0	10.8	4.6
18.0	4.6	2.9
13.0	11.7	5.8
18.0	11.4	4.3
18.0	17.1	6.2
18.0	13.5	5.3
18.0	9.1	4.1
19.0	14.2	4.3
20.0	20.0	8.3
20.0	16.5	4.8
20.0	18.2	4.1
20.0	3.9	2.6
21.0	2.8	2.3
21.0	9.3	3.8
21.0	20.1	4.5
21.0	14.7	4.6
21.0	7.3	3.7
21.0	12.7	4.3
22.0	22.0	4.9
22.0	20.2	4.1
23.0	18.6	5.2
23.0	4.7	3.4
23.0	10.0	3.9
23.0	6.2	3.0
23.0	6.7	3.5
23.0	3.7	2.9
23.0	1.8	1.4
24.0	20.3	4.9
24.0	1.7	1.4
24.0	24.0	4.5
24.0	24.0	4.5
24.0	24.0	4.5
24.0	6.6	3.8
24.0	6.0	3.5
24.0	14.7	4.7
24.0	23.1	5.2
24.0	13.5	4.4
24.0	1.5	1.3
24.0	21.2	4.1
25.0	24.1	5.4
25.0	25.0	4.4
25.0	2.8	2.3
25.0	5.5	3.3
25.0	6.5	3.6
25.0	18.3	5.1
25.0	14.1	3.5
26.0	18.8	6.2
26.0	8.7	4.6
25.0	18.5	5.0
25.0	25.0	5.6
26.0	7.5	3.7
27.0	7.4	3.9
27.0	7.0	3.5
27.0	16.0	5.2
27.0	17.9	4.7
27.0	15.7	4.4
28.0	27.1	4.6
28.0	27.1	5.2
28.0	12.7	4.0
28.0	22.2	6.4
28.0	7.9	4.4
28.0	22.3	5.2
28.0	12.8	4.4
29.0	4.6	3.8
29.0	4.8	3.8
29.0	27.1	4.5
29.0	8.1	3.4
30.0	19.9	4.4
30.0	30.0	5.8
30.0	9.2	4.0
29.0	4.8	2.7
31.0	30.1	5.3
31.0	25.3	5.2
31.0	23.4	5.9
31.0	31.0	4.3
31.0	27.2	7.0
31.0	29.0	6.7
31.0	30.1	6.0
31.0	30.1	6.3
32.0	32.0	4.5
32.0	23.1	4.5
33.0	20.6	4.0
33.0	13.2	4.4
33.0	20.8	4.0
33.0	32.0	6.7
33.0	10.6	3.8
34.0	31.1	6.6
34.0	9.9	3.4
34.0	32.1	5.5
35.0	35.0	4.4
35.0	19.6	5.1
36.0	18.0	4.5
36.0	36.0	15.0
36.0	6.5	2.7
36.0	29.6	5.3
36.0	23.3	4.7
36.0	4.7	2.3
37.0	30.3	4.4
37.0	25.4	5.7
37.0	13.8	4.3
38.0	33.5	4.5
38.0	29.3	5.5
38.0	30.3	4.8
38.0	6.5	3.4
39.0	30.5	6.2
39.0	30.5	6.2
39.0	5.4	2.9
39.0	32.8	4.4
39.0	20.8	5.0
41.0	28.8	5.8
41.0	28.8	5.8
41.0	27.5	4.7
41.0	29.5	5.0
41.0	19.3	4.5
42.0	4.1	3.4
42.0	13.2	3.4
43.0	5.6	3.1
43.0	34.3	5.1
43.0	34.3	5.1
44.0	17.3	4.4
44.0	17.3	4.4
44.0	24.9	4.7
45.0	28.3	4.6
45.0	45.0	6.1
45.0	33.4	4.5
45.0	25.0	3.8
46.0	31.1	5.1
46.0	39.1	4.3
46.0	7.7	2.9
44.0	15.1	5.0
48.0	42.2	5.7
48.0	21.6	4.6
49.0	48.0	5.7
50.0	21.2	4.0
51.0	18.9	4.6
52.0	13.8	4.1
52.0	35.2	5.0
56.0	56.0	8.8
56.0	39.9	5.2
56.0	48.2	5.1
58.0	30.9	5.7
58.0	25.3	3.3
61.0	42.9	5.3
62.0	27.1	5.5
62.0	1.0	1.0
63.0	46.8	5.8
63.0	29.9	4.8
63.0	55.5	7.7
63.0	49.3	5.9
64.0	41.0	5.1
64.0	49.8	5.1
64.0	56.3	5.6
65.0	55.1	6.9
66.0	34.9	5.0
66.0	32.2	5.1
68.0	37.4	4.9
68.0	37.4	4.9
68.0	37.4	4.9
68.0	37.4	4.9
68.0	37.4	4.9
68.0	37.4	4.9
68.0	59.5	5.4
69.0	37.4	4.9
69.0	37.4	4.9
69.0	37.4	4.9
69.0	37.4	4.9
70.0	37.4	4.9
70.0	37.4	4.9
70.0	37.4	4.9
70.0	4.9	3.6
71.0	36.7	5.0
71.0	37.4	4.9
72.0	37.4	4.8
74.0	39.3	4.9
74.0	39.4	4.9
74.0	39.4	4.9
74.0	39.4	4.9
74.0	39.3	4.9
74.0	39.3	4.9
74.0	37.5	4.8
74.0	8.3	3.9
73.0	37.0	4.0
75.0	75.0	8.4
75.0	37.5	4.8
75.0	37.5	4.8
76.0	14.7	3.8
77.0	28.9	4.6
